id,weight_class,B_avg_TOTAL_STR_landed,B_avg_CLINCH_att,B_avg_opp_CLINCH_att,B_win_by_Decision_Majority,B_Height_cms,B_Weight_lbs,R_avg_KD,R_avg_opp_SUB_ATT,R_avg_opp_LEG_landed,R_avg_opp_DISTANCE_landed,R_win_by_KO/TKO,R_Reach_cms,B_age,R_age,B_Reach_cms
0.0,1,4.653960350157523,3.9512437185814275,2.8903717578961645,0.0,5.755615623296219,5.442417710521793,0.0,0.6931471805599453,0.0,2.4849066497880004,0.0,5.763622475012218,3.9512437185814275,3.7612001156935624,0
1.0,3,4.22683374526818,1.4469189829363254,2.6210388241125804,0.0,5.779446378577191,5.484796933490655,0.0,1.0986122886681098,2.0794415416798357,2.5257286443082556,0.0,5.771565725958661,3.9512437185814275,3.8501476017100584,0
2.0,7,2.665600974329604,1.2860510739752102,0.589710810878705,0.0,5.817944146267096,5.707110264748875,0.5325566276072128,0.03077905645757174,0.851276837177809,1.643081862580023,2.3978952727983707,5.832937638879745,4.204692619390966,4.060443010546419,0
3.0,2,4.919980925828125,2.6741486494265287,1.9459101490553132,0.0,5.78726541179471,5.484796933490655,0.0,0.0,1.7047480922384253,3.9318256327243257,0.0,5.74754414409507,3.871201010907891,3.8918202981106265,0
4.0,3,3.1354942159291497,1.6094379124341003,1.9459101490553132,0.0,5.78726541179471,5.5254529391317835,0.0,0.0,1.0986122886681098,3.6888794541139363,0.0,5.763622475012218,3.8918202981106265,3.8501476017100584,0
5.0,6,3.5553480614894135,1.9459101490553132,3.044522437723423,0.0,5.810362246718757,5.655991810819852,0.0,0.030771658666753687,2.7194433849316533,3.8664697842016555,0.6931471805599453,5.817944146267096,3.9318256327243257,3.9318256327243257,0
6.0,7,4.189654742026425,2.979983916585852,2.5257286443082556,0.0,5.8027224225111045,5.655991810819852,0.0,0.4054651081081644,1.261651915912614,2.3683435728043323,1.0986122886681098,5.832937638879745,3.8918202981106265,3.9512437185814275,0
7.0,6,3.8094364166530448,1.9459101490553132,2.211017899468555,0.0,5.817944146267096,5.655991810819852,0.0,0.6931471805599453,0.8109302162163288,2.740840023925201,0.0,5.817944146267096,3.9512437185814275,3.7376696182833684,0
8.0,6,3.7784916128036232,2.2326151818592677,1.9459101490553132,0.0,5.825468992912801,5.655991810819852,0.0,0.0,1.9547990964725592,3.1780538303479458,0.0,5.84035091743822,3.9512437185814275,3.7376696182833684,0
9.0,4,3.713572066704308,2.665490586683414,1.8123787564307907,0.0,5.8027224225111045,5.602118820879701,0.4054651081081644,0.0,0.9162907318741551,2.0149030205422647,0.6931471805599453,5.817944146267096,3.8066624897703196,3.8066624897703196,0
