id,weight_class,B_avg_opp_SIG_STR_att,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_opp_SIG_STR_att,R_avg_opp_TOTAL_STR_att,R_avg_BODY_att,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_DISTANCE_att,R_avg_opp_DISTANCE_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
0.0,1,4.471638793363569,5.0689042022202315,4.871373226762748,4.007333185232471,2.9444389791664403,2.4423470353692043,4.07753744390572,4.22683374526818,3.2188758248682006,0.0,5.755615623296219,5.442417710521793,4.543294782270004,5.214935757608986,2.70805020110221,2.3978952727983707,1.9459101490553132,4.07753744390572,3.8501476017100584,0.0,5.763622475012218,5.763622475012218,5.442417710521793,0,0
1.0,3,4.5512418439625355,4.686750172980514,4.740574822994295,4.230476736546681,2.1102132003465894,1.749199854809259,3.7954891891721947,4.37260741275739,3.056356895370426,0.6931471805599453,5.779446378577191,5.484796933490655,4.034240638152395,4.973279507552487,1.5040773967762742,2.1400661634962708,2.0794415416798357,3.449987545831587,3.2188758248682006,0.0,5.771565725958661,5.771565725958661,5.5254529391317835,0,0
2.0,7,3.3992036147625115,3.2494178170181645,3.806151020103118,3.193392738815987,1.4484114347934418,1.2055950229175647,2.55361736380561,2.947415630330818,1.8955195837769336,1.3862943611198906,5.817944146267096,5.707110264748875,3.8902037013055324,3.956878079371057,1.3189055088453079,0.9990835138246159,0.16512183514778445,2.859275310189077,2.7961474245138422,2.3978952727983707,5.817944146267096,5.832937638879745,5.707110264748875,1,0
3.0,2,5.117993812416755,5.5053315359323625,5.161924741642482,4.973279507552487,2.803360380906535,2.4849066497880004,4.882801922586371,5.065754593317335,4.007333185232471,0.0,5.78726541179471,5.484796933490655,5.19295685089021,5.474369310328396,2.2512917986064953,3.6506582412937387,3.332204510175204,4.1666652238017265,4.795790545596741,0.0,5.74754414409507,5.74754414409507,5.484796933490655,1,0
4.0,3,4.718498871295094,4.448516375942715,4.820281565605037,4.499809670330265,2.995732273553991,2.5649493574615367,4.182050142641207,4.060443010546419,3.2188758248682006,0.0,5.78726541179471,5.5254529391317835,4.543294782270004,4.624972813284271,3.6109179126442243,2.5649493574615367,2.4849066497880004,4.700480365792417,4.394449154672439,0.0,5.755615623296219,5.763622475012218,5.484796933490655,1,0
5.0,6,4.5217885770490405,4.363098624788363,4.532599493153256,3.8501476017100584,3.367295829986474,3.1354942159291497,3.817712325956905,4.276666119016055,3.4011973816621555,0.6931471805599453,5.810362246718757,5.655991810819852,4.905853314757719,4.919381978611835,2.7820651629782294,2.6719911512865075,2.2088751945561946,4.816841937506037,4.825528612841327,0.6931471805599453,5.810362246718757,5.817944146267096,5.655991810819852,1,0
6.0,7,3.905753392414551,4.490740895237055,4.929967391028801,3.7361804147319004,1.7382707842770688,1.7160476474923585,2.8586230595815842,3.011236460089956,1.7047480922384253,1.0986122886681098,5.8027224225111045,5.655991810819852,3.4048365850546944,3.7011090542700895,2.436214137100507,1.2000589050047996,1.2000589050047996,2.321161478566981,3.1893826454734304,1.0986122886681098,5.817944146267096,5.832937638879745,5.707110264748875,1,0
7.0,6,3.4773865200197016,4.350277936359301,3.9219733362813143,2.924504764265623,2.0476928433652555,1.7272209480904839,3.58351893845611,3.001962823304627,2.1972245773362196,0.0,5.817944146267096,5.655991810819852,4.353498551059343,4.995521656286208,1.0116009116784799,2.6567569067146595,2.277267285009756,3.1463051320333655,3.876395827784995,0.0,5.8027224225111045,5.817944146267096,5.655991810819852,1,0
8.0,6,4.21582445975981,4.662259152972219,4.366278277705742,4.02535169073515,2.5703434370672067,2.0597170363320574,4.388257184424518,3.817712325956905,2.818631440037318,0.0,5.825468992912801,5.655991810819852,4.460144413937834,4.6330195081921515,1.81900336906844,2.505525936990736,1.8718021769015913,3.8439574382901602,3.8815637979434374,0.0,5.810362246718757,5.84035091743822,5.655991810819852,1,0
9.0,4,3.9512437185814275,4.338923394256375,4.141148628419903,3.56953269648137,2.277267285009756,1.7707060600302227,3.746558565700614,3.828641396489095,2.810907586541918,0.0,5.8027224225111045,5.602118820879701,3.871201010907891,3.8815637979434374,0.6931471805599453,0.9162907318741551,0.6931471805599453,3.784189633918261,3.784189633918261,0.6931471805599453,5.779446378577191,5.817944146267096,5.564520407322694,1,0
