id,weight_class,B_avg_SIG_STR_att,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_TOTAL_STR_att,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_avg_HEAD_att,B_avg_opp_HEAD_att,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_DISTANCE_att,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_win_by_KO/TKO,B_Height_cms,B_Weight_lbs,R_avg_TOTAL_STR_att,R_avg_BODY_att,R_avg_opp_BODY_att,R_win_by_KO/TKO,R_Height_cms,R_Reach_cms,R_Weight_lbs,gender,B_Reach_cms
0.0,1,4.762173934797756,4.471638793363569,3.6375861597263857,5.0689042022202315,4.871373226762748,4.310799125385514,4.430816798843313,4.007333185232471,2.9444389791664403,2.4423470353692043,4.07753744390572,4.22683374526818,3.2188758248682006,0.0,5.755615623296219,5.442417710521793,4.30406509320417,2.70805020110221,2.3978952727983707,0.0,5.763622475012218,5.763622475012218,5.442417710521793,0,0
1.0,3,4.223177434065069,4.5512418439625355,3.4258899942525267,4.686750172980514,4.740574822994295,3.907010463604602,3.979681653901961,4.230476736546681,2.1102132003465894,1.749199854809259,3.7954891891721947,4.37260741275739,3.056356895370426,0.6931471805599453,5.779446378577191,5.484796933490655,4.219507705176107,1.5040773967762742,2.1400661634962708,0.0,5.771565725958661,5.771565725958661,5.5254529391317835,0,0
2.0,7,3.119265886898437,3.3992036147625115,2.703940203956459,3.2494178170181645,3.806151020103118,3.3362312516018076,2.9455658881764264,3.193392738815987,1.4484114347934418,1.2055950229175647,2.55361736380561,2.947415630330818,1.8955195837769336,1.3862943611198906,5.817944146267096,5.707110264748875,3.467599611577615,1.3189055088453079,0.9990835138246159,2.3978952727983707,5.817944146267096,5.832937638879745,5.707110264748875,1,0
3.0,2,5.01396308418893,5.117993812416755,4.085976312551584,5.5053315359323625,5.161924741642482,4.189654742026425,4.844187086458591,4.973279507552487,2.803360380906535,2.4849066497880004,4.882801922586371,5.065754593317335,4.007333185232471,0.0,5.78726541179471,5.484796933490655,4.663439094112067,2.2512917986064953,3.6506582412937387,0.0,5.74754414409507,5.74754414409507,5.484796933490655,1,0
4.0,3,4.310799125385514,4.718498871295094,3.9219733362813143,4.448516375942715,4.820281565605037,4.135166556742356,4.212127597878484,4.499809670330265,2.995732273553991,2.5649493574615367,4.182050142641207,4.060443010546419,3.2188758248682006,0.0,5.78726541179471,5.5254529391317835,4.997212273764115,3.6109179126442243,2.5649493574615367,0.0,5.755615623296219,5.763622475012218,5.484796933490655,1,0
5.0,6,4.283586561860629,4.5217885770490405,3.8607297110405954,4.363098624788363,4.532599493153256,3.8815637979434374,4.197201947661808,3.8501476017100584,3.367295829986474,3.1354942159291497,3.817712325956905,4.276666119016055,3.4011973816621555,0.6931471805599453,5.810362246718757,5.655991810819852,5.322800353753908,2.7820651629782294,2.6719911512865075,0.6931471805599453,5.810362246718757,5.817944146267096,5.655991810819852,1,0
6.0,7,3.9679306373664422,3.905753392414551,3.31191069083539,4.490740895237055,4.929967391028801,4.690200435172667,3.5499765176875027,3.7361804147319004,1.7382707842770688,1.7160476474923585,2.8586230595815842,3.011236460089956,1.7047480922384253,1.0986122886681098,5.8027224225111045,5.655991810819852,3.959025859023482,2.436214137100507,1.2000589050047996,1.0986122886681098,5.817944146267096,5.832937638879745,5.707110264748875,1,0
7.0,6,3.8815637979434374,3.4773865200197016,2.810907586541918,4.350277936359301,3.9219733362813143,3.522677279199865,3.6041382256588457,2.924504764265623,2.0476928433652555,1.7272209480904839,3.58351893845611,3.001962823304627,2.1972245773362196,0.0,5.817944146267096,5.655991810819852,4.223177434065069,1.0116009116784799,2.6567569067146595,0.0,5.8027224225111045,5.817944146267096,5.655991810819852,1,0
8.0,6,4.42109709615533,4.21582445975981,3.417726683613366,4.662259152972219,4.366278277705742,3.7689371858284573,4.234927046556263,4.02535169073515,2.5703434370672067,2.0597170363320574,4.388257184424518,3.817712325956905,2.818631440037318,0.0,5.825468992912801,5.655991810819852,4.169165571758998,1.81900336906844,2.505525936990736,0.0,5.810362246718757,5.84035091743822,5.655991810819852,1,0
9.0,4,4.1666652238017265,3.9512437185814275,2.976804263668472,4.338923394256375,4.141148628419903,3.405355391810819,3.9631912920025454,3.56953269648137,2.277267285009756,1.7707060600302227,3.746558565700614,3.828641396489095,2.810907586541918,0.0,5.8027224225111045,5.602118820879701,4.182050142641207,0.6931471805599453,0.9162907318741551,0.6931471805599453,5.779446378577191,5.817944146267096,5.564520407322694,1,0
